ID	MeanDecreaseAccuracy	MeanDecreaseGini
TRNA-CHARGING-PWY	-1.13E-06	0.14780332
P185-PWY	-1.23E-06	0.274400723
PEPTIDOGLYCANSYN-PWY	-2.02E-06	0.03720739
LPSSYN-PWY	-2.34E-06	0.08326737
PWY-2723	-2.73E-06	0.033873157
PWY-6125	-2.92E-06	0.166721163
PWY-621	-2.94E-06	0.152572411
PWY-5897	-3.02E-06	0.059480373
PWY0-1277	-4.78E-06	0.043677185
PWY-7409	-5.37E-06	0.023957889
ARGSYNBSUB-PWY	-5.95E-06	0.093308574
PWY-7315	-6.68E-06	0.067159828
PWY-7209	-6.77E-06	0.328201385
PWY-7222	-7.50E-06	0.194660863
PWY-5941	-8.16E-06	0.068603173
PWY-6708	-9.67E-06	0.135263294
PWY-6823	-1.23E-05	0.034884338
ANAGLYCOLYSIS-PWY	-1.40E-05	0.087224127
PWY-5840	-1.59E-05	0.048063197
ILEUSYN-PWY	-1.63E-05	0.096003693
PWY-6519	-1.71E-05	0.039039881
PWY-6629	-2.01E-05	0.030978285
PWY-7663	-2.12E-05	0.051968082
PWY0-1061	-2.14E-05	0.161158706
PWY-5182	-2.17E-05	0.017434884
PWY-561	-2.59E-05	0.035818477
PWY-6168	-2.76E-05	0.095404855
PWY-7237	-3.80E-05	0.352765916
GLUDEG-I-PWY	-3.94E-05	0.061420014
PWY-6936	-4.11E-05	0.137440199
PWY66-389	-4.73E-05	0.09825694
PWY0-42	-4.84E-05	0.074177254
PWY-6892	-5.08E-05	0.079975399
PWY0-1586	-5.55E-05	0.14772449
NONMEVIPP-PWY	-5.62E-05	0.017801241
PWY-5180	-5.85E-05	0.02406183
PWY-5723	-5.90E-05	0.048182262
ORNDEG-PWY	-5.97E-05	0.020286755
PWY-4981	-6.05E-05	0.188903888
PWY0-1533	-6.19E-05	0.026316352
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	-6.40E-05	0.017558137
HEME-BIOSYNTHESIS-II	-6.52E-05	0.226328654
PWY-5656	-6.68E-05	0.081199707
PWY-5659	-7.21E-05	0.113028491
PYRIDOXSYN-PWY	-7.41E-05	0.151684053
PWY-5899	-7.82E-05	0.044992025
VALSYN-PWY	-7.85E-05	0.111732818
PWY-5686	-8.08E-05	0.030721999
DENOVOPURINE2-PWY	-8.13E-05	0.080293829
FERMENTATION-PWY	-8.17E-05	0.103210878
ARG+POLYAMINE-SYN	-8.37E-05	0.116485343
PWY-7282	-8.55E-05	0.105870862
PWY-6263	-8.64E-05	0.14127413
OANTIGEN-PWY	-8.86E-05	0.0972976
PWY-7219	-8.91E-05	0.096062212
